evaluation,arm,rho,sd,n
train GSE79362 -> test GSE94438,"A  Zak16, no fitting",0.0218686416449658,,75
train GSE79362 -> test GSE94438,B  Ridge on 2000 HVGs,-0.0937778809363533,,75
train GSE79362 -> test GSE94438,C  AE latent + ridge head,-0.07882716253071,0.0119634333704812,75
train GSE79362 -> test GSE94438,D  AE + joint time head,-0.101460491971758,0.0058101979272409,75
train GSE94438 -> test GSE79362,"A  Zak16, no fitting",0.4173142823962601,,33
train GSE94438 -> test GSE79362,B  Ridge on 2000 HVGs,-0.1101362082896016,,33
train GSE94438 -> test GSE79362,C  AE latent + ridge head,-0.2899640688656433,0.0095261970751248,33
train GSE94438 -> test GSE79362,D  AE + joint time head,0.0072699925047005,0.023982618952288,33
within GSE79362,"A  Zak16, no fitting",0.4173142823962601,,33
within GSE79362 (donor-grouped CV),B  Ridge on 2000 HVGs,0.3310771299267085,,33
within GSE79362 (donor-grouped CV),C  AE latent + ridge head,0.1936157773953012,0.021308598720674,33
within GSE79362 (donor-grouped CV),D  AE + joint time head,0.3173727762396868,0.06685050579035,33
within GSE94438,"A  Zak16, no fitting",0.0218686416449658,,75
